,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
867,Burgess Strain Buttercup Kabocha Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"The classic buttercup. A northern New England favorite. Great culinary attributes for an organic, open-pollinated variety: creamy, deep orange flesh with rich, sweet flavor.",,40°,,"20""",8-10',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",95 Days to harvest,Green,,Yellow,Open pollinated; Organic seed; 2 plants per hill; 12-15 fruit per plant; 3-5 pounds per fruit,0,,,,,
868,Candy Roaster Heirloom Hubbard Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,North Georgia Candy Roaster Pumpkin,"Here is a smaller strain of Candy Roaster from northern Georgia. This type of squash is famous among the people of the Southeast. Pink, banana-shaped fruit has a blue tip and weighs around 10 lbs. Delicious, smooth orange flesh is perfect baked, fried and makes great pies; hard to find and quite beautiful.",,40°,,12-18”,6',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,,Heirloom; Open Pollinated; 8-15 lbs; Gourmet; Stores for 5 months; Roasted; Stuffed; Pie filling; Trellis,0,,,,,
869,Chicago Warted Hubbard Heirloom Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Chicago Warted Hubbard is a medium maturing Hubbard squash. Plants are vigorous with indeterminate vines. The yield potential is good. The fruit averages between 6 and 7 kg in weight and has the typical Hubbard shape. The rind is dark green-grey in colour and densely covered by warts. Chicago Warted Hubbard flesh is dark yellow in colour, dry and thick. Taste is very sweet and nutty. Holding ability and shelf life is good.",,40°,,"30""",indeterminate,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,"Heirloom; Large, Delicious fruit; Good yielding; Good shelf life",0,,,,,
870,Dill’s Atlantic Giant PVP Pumpkin,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"World’s biggest pumpkin – current record over 2,000 lbs.! With proper growing techniques (included), this variety consistently produces fruits between 300 and 500 lbs., each one huge, round, rough, flattened, golden-orange with slight ribbing. Ideal for stupendous Jack-O-Lanterns or fall displays.",,40°,,"18""",10',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",120 days to harvest,Green,,,Open Pollinated; Decorative; Needs a lot of space; Giant,0,,,,,
871,Gold Nugget Mini Buttercup Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Gold Nugget is a small buttercup type that won the All America award in 1966. It was originally bred to be a sweet potato substitute for areas with short growing seasons. The fruit is 1-3 pounds. The shape is a flattened oval, with flesh and skin a light orange. Compact bush. Keeps well.",44630,42°,,3-4',48-55”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",95 Days to harvest,Green,Green,Yellow,"Open Pollinated; 2/28/2022Hybrid; Orange; Canning; Baking; Decoration; Good keeper; Up to 10 golden orange, 1-1.5 lb. fruits; Kaboacha Squash",0,,,,,
872,Guatemalan Blue Banana Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Belongs to the Banana group of squashes, noted for their fine table quality. This selection is dark “blue” with light stripes; golden-yellow flesh is thick and firm. Fruits range up to 20 inches in length and average 5 pounds. We like to keep this one in the refrigerator after the initial cutting and continue to slice off small rings that can be either baked or roasted.","3, 4",40°,,"24""","60-72""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90-95 Days to harvest,Green,Green,Yellow,"Heirloom; Open Pollinated; Rare; Dark blue-grey with light stripes; Fruits grow up to 20 inches long and 5 pounds; Thick, firm golden yellow flesh; Winter squash; Very productive; Greenhouse",0,,,,,
873,Honeynut Butternut Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"It is totally new and not an heirloom, but it is open pollinated. Very high sugar content when fully ripe. With a delectable, sugary-sweet flavor and long shelf life, each Winter Honeynut squash can serve up to two people for a delicious, dessert-like entree or side. You'll harvest loads of these 5 inch mini butternut squashes.",,40°,,10-12”,7-10',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",110 days to harvest,Green,,Yellow,Open Pollinated; Petite 5 inch sized fruit weighing .5-1 lb each; Long shelf life;,0,,,,,
874,Japanese Red Kuri Hubbard Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,"Uchiki Kuri, Baby Red Hubbard or Orange Hokkaido","Kuri is Japanese for chestnut, a tribute to its nutty flavor. Also known as 'Orange Hokkaido', its smooth consistency and deep color make it a favorite for any traditional squash or pumpkin dish, although it's terrific simply sliced, steamed, or baked. Compact 4'-6' vines produce well even in cool or short-season climates.",,40°,,8-16”,5',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90 days to harvest,Green,,Yellow,"Heirloom; Organic seed; Sweet, nutty flavor; 4-8 lb fruit; Small size, big flavor; Very prolific and early; Highly sought after by chef's and in markets; Stores for almost a year",0,,,,,
875,Jumbo Pink Banana Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Recommended by USU. Fruits can get 4 feet long and 1 foot across and weight 70 pounds. Smooth pink-orange skin with fine-grained flesh. The yellow-orange flesh is thick, firm, dry, sweet, and not stringy.",,40°,,"24""",6' plus,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,Open Pollinated; Best tasting variety; Good baking variety; Giant winter Squash,0,,,,,
876,North Georgia Candy Roaster Hubbard Heirloom Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"This delicious oddity proves that looks aren't everything. Maintains its superior eating quality up to five months with proper storage. Can be roasted, stuffed, or made into pie filling.",,40°,,12-18”,48-60”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,Heirloom; Fantastic flavor; 8-15 lbs; Stores up to 5 months,0,,,,,
877,Small Wonder Spaghetti Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Small Wonder spaghetti squash seeds produce heavy yields of fruits that store particularly well. Fruits average 15cm (6 inches) long and 12cm (5) in diameter, so they are celebrated as personal size or single serving size spaghetti squash. """,44628,42°,,"36""",48-60”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",80 Days to harvest,Green,Green,Yellow,Hybrid; Single Serving; Early season; Delicious,0,,,,,
878,Space Station Buttercup Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,Semi bush kabocha hybrid with excellent flesh color and quality. Flesh is very sweet and dry.,,40°,,,,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",,,,,,0,,,,,
879,Sweet Jade Kabocha Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Delicious personal-size kabocha. Cute, sea-green squash sized perfectly for single servings, soup bowls, and more, with little to no wasted fruit. Great for small families and singles. With heavy yields and exceptional storage.",,40°,,"20""",8-10',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",95 Days to harvest,Green,,Yellow,Open pollinated; Hybrid; Organic seed; 2 plants per hill; Mini Squash,0,,,,,
880,Sweet Mama Hybrid Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"An improved buttercup type with huge yields on compact, semi-bush vines. Fruits, 3 to 4-lbs. are dark green, drum-shaped, with a thick, sweet, dry yellow flesh. Ideal for small gardens. Good keeper.",,40°,,"36-48""",,Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,,,"Hybrid; Semi-bush; Dark green 2-4 lb. green fruits; Dark yellow, sweet and nutty flesh; 2-3 drum-shaped fruits per plant",0,,,,,
881,Sweet Meat Winter Squash,Cucurbita maxima,kyoo-KUHR-bee-tah MAX-eh-muh,,"Sweet Meat is a beloved heirloom winter squash that is typically associated with the northwestern US, though it can be successfully cultivated in other regions as well. Many claim that this one is, hands down, the best squash for pumpkin pie. This is a delightfully sweet variety that can be stored for up to 6 months.",44630,40°,,"24-36""",72-96”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90-110 Days to harvest,Green,Green,Yellow,"Heirloom; Open Pollinated; Well Suited for Baking, Roasting, and Preserving; Green-Gray Skin with Deep Orange Flesh; Dry, Fine and Stringless Flesh; Vigorous and Productive; 5-8 inch fruits; 12 lb average;",0,,,,,
882,Butterbaby Butternut Hybrid Winter Squash,Cucurbita moschata,kyoo-KUHR-bee-tah,,Baby butternut with wonderful flavor and good color. True butternut shape and small size. Short vine.  Intermediate resistance to powdery mildew. USDA Certified Organic.,,40°,,"24-36""","60-72""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,"Hybrid; True mini, adorable butternut; Organic seed; Fruits are 4–6 inches long and offer about two servings each; Stores 3–4 months; Avg. weight: 1 1/2–2 lbs.",0,,,,,
883,Fairytale Pumpkin,Cucurbita moschata,kyoo-KUHR-bee-tah Moss-KAH-tah,"Cheese Pumpkin, Musquée de Provence, Moscata di Provenza, and Castilla squash","Fairytale pumpkins are a large, flat member of the squash family (Cucurbitaceae) with a sweet, edible flesh that is perfect for cooking and baking. A winter squash, it has large, deep ribs, turns from dark green to orange-brown when ripe, and commonly grows up to 20 pounds or more. Its flesh is orange-yellow.",44628,40°,,"24-36""",10',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90 days to harvest,Green,Green,Yellow,Heirloom; Open Pollinated; Baking; Pies; Decorative; Delicious; Trellis,0,,,,,
884,Hunter Butternut Winter Squash,Cucurbita moschata,kyoo-KUHR-bee-tah Moss-KAH-tah,,"A classic butternut that sprints past most common varieties. The shapely fruit have creamy, smooth textured, sweet orange flesh, and average 1 ¼-2 pounds each. Healthy plants are highly productive too. These long-storing squash will provide delicious eating all winter long.",44629,40°,,"24""",36-72”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,Green,Yellow,Hybrid; Early; Heavy yields; Bred for cooler climates; Sweet; 6-7 one and three-quarter to two and a half pound fruits,0,,,,,
885,Waltham Butternut Squash,Cucurbita moschata,kyoo-KUHR-bee-tah Moss-KAH-tah,,Interior is solid and dry. Pick young and use like summer squash or let mature to 6 lbs. Excellent for storing. 12-15”,44628,40°,,10-12”,48-60”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,Green,Yellow,,0,,,,,
886,Baby Bear Mini Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,"Jack Be Little, Munchkin","Kids love this perfect mini pumpkin. Baby Bear is a unique size and shape, and the deep orange, 1 1/2–2 1/2-lb. fruits are about half the size of a normal pie pumpkin. With slender, sturdy, easy-to-grip handles, they are very appealing to children. In addition to its decorative use, the flesh is good for pies and the semi-hulless seeds are good for roasted snacks. High yield potential. Superior storage quality.",,40°,,"12-18""",8',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",105 days to harvest,Green,,Yellow,Open Pollinated; 1.5-2 lb fruit; 3.5 inches high by 5.5 inches wide fruit; Fine grained for pies; Decorative; Hulless seeds,0,,,,,
887,Batwing Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"This unique ornamental produces small .5-1 lb. fruit with many having a novel, dipped in dark green paint look. Batwing will produce a variation of fruit colors, with some being completely orange, some all dark green, and a good quantity being half orange and half green. Color will be expressed best when planted later and harvested earlier than other varieties.",,40°,,2',8',,"Grow pumpkins with sage, mint, marjoram, chives, oregano, onions, shallots, garlic, corn, nasturtiums, marigolds, petunias, radish, peas and beans. Avoid planting pumpkins with beets, sunflowers, potatoes, zucchini, melon, brassicas, carrots or fennel.",85 Days to harvest,Green,,,Hybrid; Novelty; Baseball-sized mini-pumpkin; Weighs a half-pound; Measures about 3-in. across; Many variations in its colors; Good for Halloween; Great for Thanksgiving;,0,,,,,
888,Black Beauty Zucchini Heirloom Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"This early and prolific heirloom variety has been exceedingly popular for its very dark green skin and creamy white flesh. The fast-growing plants are very easy to grow and will continue to produce abundantly through the summer if picked continuously. Use in soups, salads, and casseroles. Great sliced thin for dips, battered and fried, or in a veggie lasagna. Freezes well. Harvest while skins are still tender; pick really small for “baby zucchini.”",,40°,,"24""",3-4',Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",55 days to harvest,Green,,Yellow,"Heirloom; Good for containers; Use in soups, salads, breads; Freezes well",0,,,,,
889,Bush Baby Zucchini Summer Squash,Cucurbita pepo,kyoo-KUH-bee-tuh PEH poe,,"Considered a marrow type squash, Bush Baby’s striking fruit sport light and dark green stripes and have a wonderfully delicate, satisfying flavor. Bred to produce smaller fruit, their prime size for picking is 2 by 6 inches, but the non-stop plants deliver a higher than average overall harvest. Compact, bush type plants are right at home in the garden or a large container.",44628,40°,,"24-36""",24-30”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",59 Days to harvest,Green,Green,Yellow,Hybrid; Marrow Squash; Smaller fruit; When fruit is 2 * 6 inches it is ready to be picked; Containers; Raised Beds,0,,,,,
890,Bush Delicata Winter Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"A tidy bush habit that spreads only about 4–6 feet. The 1 ½–2 pound oblong-shaped squash have creamy white skin with green stripes and flecks. Inside, the flesh is smooth and has a sweet nutty flavor with hints of brown sugar and butter. This compact variety has all the perks of a great delicata: the first winter squash to ripen; sweet, firm flesh; and great flavor. Unlike other varieties, though, this one is compact enough to grow in a large container or smaller garden space.",44630,42°,,"36""",48-60”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",90 days to harvest,Green,Green,Yellow,"Heirloom; Open Pollinated; If you have never eaten a Delicata squash, this is the one to grow to eat; Sweet and delicious, similar to a sweet potato; Large Container; Stores well; Good Baking variety;",0,,,,,
891,Commander Hybrid Zucchini Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Shiny, smooth, straight, cylindrical fruits with flavorful, succulent flesh. Huge yields on bush type, space-saving vines with an upright, open habit to make picking the 7 to 8-in., dark green fruits very easy.",,40°,,,,Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",46-55 Days to harvest,Green,,Yellow,Hybrid; Bush; 7-8 inch fruits;,0,,,,,
892,Costata Romanesco Heirloom Zucchini Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"A sought-after Italian heirloom grown around Rome for years. The zucchini is grey-green, has fluted edges or ribs. When cut these fluted edges give them a scalloped appearance. The flavor is very rich and nutty. Unique amongst summer squash. Much better taste than hybrids.",,40°,,2-3',3-4',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",55 days to harvest,Green,,Yellow,Heirloom; Wins every taste test; Pick at 6 inch or smaller; Cocozelle Squash; Trellis; Striped,0,,,,,
893,Dark Green Zucchini,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,Long green squash up to 10-12 inches in length. Heirloom.,,40°,,"24""","24""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",50 days to harvest,Green,Green,Yellow,Heirloom; Open Pollinated; Containers; Raised Beds; Prolific yields; Straight; 8 inch fruits,0,,,,,
894,Dixie Yellow Crookneck Hybrid Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tuh PEH-poe,,"Bright-yellow crookneck fruits are graced with fine, meaty texture and succulent flavor. 5-6 inches.",,40°,,24-30”,"48""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",41 Days to harvest,Green,,Yellow,Hybrid; 5-6 inch long fruits; Prolific; Early; Hold up well after picking; Delicious;,0,,,,,
895,Dunja Zucchini Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Organic, early, powdery mildew resistant. Dunja is a high yielder of dark-green, straight zucchinis. Open plants and short spines make for an easy harvest. Dunja sets fruit well with minimal pollinator activity, making it a good choice for tunnel production. Intermediate resistance to powdery mildew, papaya ringspot virus, watermelon mosaic virus, and zucchini yellow mosaic virus. USDA Certified Organic.",,40°,,"24""",4-5',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",47 Days to harvest,Green,,Yellow,Hybrid; Organic Seed; Greenhouse zucchini; Easily pollinated; 7-8 inch green fruits;,0,,,,,
896,Early Prolific Straightneck Summer Heirloom Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Thick, firm, fine-grained delicious squash is ready to harvest in just 45 days! Versatile summer squash can be eaten raw, pickled, or cooked in innumerable ways, including in sweet breads. Best picked at 4–7 inches, or smaller for baby"" size. If left on the vine, it may grow so big that it would take two people to carry it!""",,40°,,"24""",3-4',Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",45 Days to harvest,Green,,Yellow,Heirloom; Good for Containers; Best harvested when only 3 to 7-in. long; Prolific; Heaviest yielding non-hybrid variety,0,,,,,
897,Easy Pick Gold II Hybrid Zucchini,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Delicious, glossy golden that are zucchini effortlessly found and painlessly picked. Pick these mildly flavored, cheerfully colored zucchini anywhere from only 1-in. up to 10-in. long to use exactly the way you would a green zucchini.",,40°,,3-4.5',3-4.5',Fast,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",48 Days to harvest,Green,,Yellow,Hybrid; Grow in containers; Easy to pick,0,,,,,
898,Eight Ball Hybrid Zucchini Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"The first round summer squash. Dark zucchini skin with a unique round shape, somewhat lighter green streaks, smooth and shiny skin with great buttery taste. Commonly used for stuffing edible, savory foods into its cavities. Improved for earliness. Can be harvested in about 5 to 6 weeks",,40°,,24-30”,3',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",55 days to harvest,Green,,Yellow,Hybrid; Containers;,0,,,,,
899,Goldilocks Mini Acorn Winter Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Once upon a time, there was an acorn squash named Goldilocks. In summer trials all across North America, the vigorous plant, high yield, disease tolerance, and rich nutty flavor of this variety had our judges saying, “Ahhh, this squash is just right!” like in the fairy tale. The bright orange fruits with uniform shape and color double as an ornamental decoration.",44630,42°,,"30""",48-55”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,Green,Yellow,Hybrid; Orange; Canning; Baking; Decoration,0,,,,,
900,Green Eggs Hybrid Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Squash-lovers, meet the griller of your dreams. Green Eggs’ dishes out slice after delicious slice of flavor. Gorgeous, green, 5” oval squashes are ready to leap onto the grill and dazzle you with caramelized, nutty taste and creamy flesh.",,40°,,4-5',3-6',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",50-55 Days to harvest,Green,,Yellow,Hybrid; High yielding; Grilling; Delicious,0,,,,,
901,Grey Zucchini Heirloom Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"An Old World heirloom native to Italy, the Zucchini Grey summer squash has been a Mediterranean favorite since the early 1800s. Since then, Zucchini Grey squash seeds have lent itself to numerous seasonal hybrids and cultivars of Italian summer squash. Unlike plain green varieties of squash seeds, Zucchini Grey boasts a uniquely striped skin very similar to a Greyzinni hybrid.",,40°,,Varies,"24"" plus",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",45-50 Days to harvest,Green,,Yellow,Heirloom; Open Pollinated; Heat resistant; Can be dry farmed; High Yielding; Productive; Container,0,,,,,
902,Gumdrop PMR Hybrid Pumpkin,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"A different take on the small jack. Gumdrop gets your attention with rich orange color, a whimsical shape, and a big, sturdy handle. The avg. 11–13 lb. pumpkins are an ideal size for kids, or for accenting any fall display. Short vine allows 24–30 inch spacing in-row. Our thanks to the University of New Hampshire for their help in developing this variety. Intermediate resistance to powdery mildew.",,40°,,18-24”,8',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",100 days to harvest,Green,,Yellow,"Hybrid; 3-4 fruits per plant; Small jack-o-lantern pumpkin; Great size for kids; Bold color; Round to gumdrop-shaped; Long, very strong handle; Short vine.",0,,,,,
903,Honey Bear Acorn Hybrid Winter Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"The sweet flavor of Honey Bear is the main reason any gardener would want to grow this acorn squash but there are much more exceptional qualities. As the fall season nears, Honey Bear will tolerate the cool, moist temperatures and continue to ripen squash while other varieties succumb to mildew. Honey Bear requires less space in the garden since it has a compact bushy habit. These traits are desirable for consumers with a limited size garden. Earliness is another valuable quality.",,40°,,"24""",4-5',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85-100 days to harvest,Green,,Yellow,Hybrid; 3-5 1 lb. fruits per plant;,0,,,,,
904,Jester Delicata Hybrid Winter Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Among the very best in eating quality. Oval and tapered at both ends, Jester's distinguishing feature is splashy green, inter-rib striping that contrasts nicely with the ivory background.",,40°,,"20""",5',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",95 Days to harvest,Green,,Yellow,Hybrid; Superb flavor in an eye-catching fruit; High yielding; 1.5 lb fruits;,0,,,,,
905,Lemon Drop Hybrid Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"Surprise! A gorgeous lemon lookalike, ‘Lemon Drop’ brings exceptional flavor and beauty to the summer table. Makes for scrumptious fresh eating and downright sublime when sautéed, baked or grilled.",,40°,,12-16”,"40""",,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",55-60 Days to harvest,Green,,Yellow,"Hybrid; Delicious; Popular; Best grown in the ground; Round, eight ball type",0,,,,,
906,Lemon Sun Hybrid Patty Pan Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,"scalloped squash, custard squash or sunburst squash","Fully yellow, tulip-shaped, blemish-free fruits with bright green stem. Plants are open for ease of harvest and have minimal spines. Earlier and higher yielding than Sunburst, which it replaced. Attractive harvested while small with blossom still attached, or teacup-sized.",,40°,,"24-36""",36-40”,,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",50 days to harvest,Green,,Yellow,Hybrid; Uniform; Bright yellow; Containers; Vigorous; Prolific;,0,,,,,
907,Marrow Green Bush Heirloom Summer Squash,Cucurbita pepo,kyoo-KUHR-bee-tah PEH-poe,,"An heirloom variety from England that dates back to the 1800s. It is a thin-skinned, tender flesh squash that grows oblong pale green fruits. It grows on small bush like plants that make it an ideal choice for gardens where space is at a premium.",,40°,,"18""",5',,"Companions: corn, lettuce, melons, peas, and radish. Avoid planting near Brassicas or potatoes. Borage is said to improve the growth and flavour of squash. Marigolds and nasturtium repel numerous squash pest insects.",85 Days to harvest,Green,,Yellow,Heirloom; Open Pollinated; Can be used as a summer or winter squash; Best stuffed and roasted,0,,,,,
